retained_peak_id,frequency_day_inverse,power,retained_rank,is_operational_reference,is_dominant,alias_advisory,alias_reason_codes
retained_peak:observation:4a4591056283a9debf557521:0057,18.738360800443754,0.00016781159472426487,57,NO,NO,NO,
retained_peak:observation:4a4591056283a9debf557521:0058,17.578986084225807,0.00016709406667206317,58,NO,NO,NO,
retained_peak:observation:4a4591056283a9debf557521:0059,14.413001282246029,0.00016642190412757675,59,NO,NO,NO,
retained_peak:observation:4a4591056283a9debf557521:0060,5.918351919187612,0.00016250995525924537,60,NO,NO,NO,
retained_peak:observation:4a4591056283a9debf557521:0061,19.273456823313577,0.00016233052898099055,61,NO,NO,NO,
retained_peak:observation:4a4591056283a9debf557521:0062,10.355189775483215,0.00015706567304424129,62,NO,NO,NO,
retained_peak:observation:4a4591056283a9debf557521:0063,19.541004834748485,0.00015320857403059015,63,NO,NO,NO,
retained_peak:observation:4a4591056283a9debf557521:0064,9.664024079276363,0.00014163440519342123,64,NO,NO,NO,
retained_peak:observation:4a4591056283a9debf557521:0065,11.2024251450271,0.00014010089904523007,65,NO,NO,NO,
retained_peak:observation:4a4591056283a9debf557521:0066,17.289142405171322,0.00013361572988799565,66,NO,NO,NO,
retained_peak:observation:4a4591056283a9debf557521:0067,12.07195618219056,0.0001335270292419012,67,NO,NO,NO,
retained_peak:observation:4a4591056283a9debf557521:0068,15.037279975594153,0.0001256038101741113,68,NO,NO,NO,
retained_peak:observation:4a4591056283a9debf557521:0069,12.874600216495292,0.00011006653504062027,69,NO,NO,NO,
retained_peak:observation:4a4591056283a9debf557521:0070,12.33950419362547,0.00010991355660092909,70,NO,NO,NO,
retained_peak:observation:4a4591056283a9debf557521:0071,16.1074720213338,0.00010738063149376191,71,NO,NO,NO,
retained_peak:observation:4a4591056283a9debf557521:0072,18.136377774715204,9.985420082999656e-05,72,NO,NO,NO,
retained_peak:observation:4a4591056283a9debf557521:0073,12.584756537440805,9.453300952185523e-05,73,NO,NO,NO,
retained_peak:observation:4a4591056283a9debf557521:0074,11.782112503136073,9.448303939558733e-05,74,NO,NO,NO,
retained_peak:observation:4a4591056283a9debf557521:0075,13.142148227930202,8.967422157479738e-05,75,NO,NO,NO,
retained_peak:observation:4a4591056283a9debf557521:0076,15.349419322268217,8.767576057392315e-05,76,NO,NO,NO,
retained_peak:observation:4a4591056283a9debf557521:0077,8.014144675427746,8.691703631726142e-05,77,NO,NO,NO,
retained_peak:observation:4a4591056283a9debf557521:0078,15.639263001322703,8.060339920389959e-05,78,NO,NO,NO,
retained_peak:observation:4a4591056283a9debf557521:0079,14.747436296539666,7.956000179703946e-05,79,NO,NO,NO,
retained_peak:observation:4a4591056283a9debf557521:0080,18.403925786150115,7.350986524864197e-05,80,NO,NO,NO,
retained_peak:observation:4a4591056283a9debf557521:0081,13.766426921278327,6.409049179652831e-05,81,NO,NO,NO,
retained_peak:observation:4a4591056283a9debf557521:0082,9.95386775833085,5.803505714630175e-05,82,NO,NO,NO,
retained_peak:observation:4a4591056283a9debf557521:0083,13.454287574604265,5.723404029505427e-05,83,NO,NO,NO,
retained_peak:observation:4a4591056283a9debf557521:0084,17.868829763280296,4.691354672338552e-05,84,NO,NO,NO,
retained_peak:observation:4a4591056283a9debf557521:0085,11.648338497418617,4.518857678697274e-05,85,NO,NO,NO,
retained_peak:observation:4a4591056283a9debf557521:0086,15.862219677518462,3.324192502149989e-05,86,NO,NO,NO,
retained_peak:observation:4a4591056283a9debf557521:0087,8.7053103716346,3.3084429267908136e-05,87,NO,NO,NO,
retained_peak:observation:4a4591056283a9debf557521:0088,19.808552846183396,2.48681848665389e-05,88,NO,NO,NO,
retained_peak:observation:4a4591056283a9debf557521:0089,13.900200926995783,2.1434353095759396e-05,89,NO,NO,NO,
