alias_advisory_count,alias_advisory_present,canonical_harmonic_order,canonical_primary_role,frequency,graph_id,is_canonical_harmonic,is_dominant,is_operational_reference,is_primary_sideband_member,node_id,node_index,observation_id,period,power,primary_sideband_role,reference_is_dominant,relationship_participation_count,retained_peak_id,retained_rank,semantic_fingerprint,upstream_peak_fingerprint,layout_x,layout_y,display_in_panel
0,False,,NONCANONICAL_FAMILY_MEMBER,4.8927512086871205,graph:observation:4a4591056283a9debf557521,False,False,False,False,node:retained_peak:observation:4a4591056283a9debf557521:0012,11,observation:4a4591056283a9debf557521,0.20438398711638794,0.004177278067874476,,False,451,retained_peak:observation:4a4591056283a9debf557521:0012,12,53d471acb65d9492e94e1dcb457f2f715a0b9bd9fc9aa86dbc4b0b0e235035b9,4619a49d4501fd4d7aab9ad0978d1dee0a983b37e0aafd8f799c80ab349b8224,0.24063564131668552,0.5076867796317918,NO
0,False,,CANONICAL_SIDEBAND_RIGHT,1.1693747162179466,graph:observation:4a4591056283a9debf557521,False,False,False,True,node:retained_peak:observation:4a4591056283a9debf557521:0013,12,observation:4a4591056283a9debf557521,0.855157877223695,0.0036479286237715933,RIGHT,False,470,retained_peak:observation:4a4591056283a9debf557521:0013,13,f31588c50a20796d5ed5174c910924360d35b6d111c1867fdb5c6b2f5f4dc0d7,b74934332fb3c8b0cf9650612a409e14de9b03f12e6e3889f529490ea61170f9,0.0510783200908059,0.4946393113550848,NO
0,False,,NONCANONICAL_FAMILY_MEMBER,5.2048905553611835,graph:observation:4a4591056283a9debf557521,False,False,False,False,node:retained_peak:observation:4a4591056283a9debf557521:0014,13,observation:4a4591056283a9debf557521,0.1921269985148817,0.0034673321968275096,,False,455,retained_peak:observation:4a4591056283a9debf557521:0014,14,6fa3b5fa4449efbdd83775cc32934a13bb8a26902e707c8fb2155d0af4ed6b87,f018d5b0e3ad7d0c5d18a0f769d4f9155ef996740299d15d5eb5ea87f8163341,0.2565266742338252,0.4897502279087074,NO
0,False,,NONCANONICAL_FAMILY_MEMBER,2.975323793403594,graph:observation:4a4591056283a9debf557521,False,False,False,False,node:retained_peak:observation:4a4591056283a9debf557521:0015,14,observation:4a4591056283a9debf557521,0.33609787352120735,0.0031151743409169436,,False,462,retained_peak:observation:4a4591056283a9debf557521:0015,15,8b64e59d21cd1f10b4fdff574c537469c34768c4d001188401d53d7cdfde7f3e,c497cfd9575a9a97c692cf2af9d3e53fdc564fb85726ab17a6795c665e797485,0.1430192962542565,0.47943742379148946,NO
0,False,3,CANONICAL_HARMONIC,2.4179321029141967,graph:observation:4a4591056283a9debf557521,True,False,False,False,node:retained_peak:observation:4a4591056283a9debf557521:0016,15,observation:4a4591056283a9debf557521,0.41357654286270346,0.0023874197143771217,,False,428,retained_peak:observation:4a4591056283a9debf557521:0016,16,4a3bcba5b4ef0b93ba192523d96153b67d0f305d19e8d8fc179f68ab05550389,94ad6f576fb3ecb8d8ae480604830c95f8f90222e91d509f08a14282a5611f95,0.11464245175936436,0.4538170809944345,YES
0,False,,NONCANONICAL_FAMILY_MEMBER,3.7556721600887504,graph:observation:4a4591056283a9debf557521,False,False,False,False,node:retained_peak:observation:4a4591056283a9debf557521:0017,16,observation:4a4591056283a9debf557521,0.2662639222419161,0.0018931358855641524,,False,472,retained_peak:observation:4a4591056283a9debf557521:0017,17,1c330cbd96c8c049a2cca27bbcc1408d0d8d0d07a40e7c982efc7e89e4e45f9c,67810e01ce13e82af75181244c84094816695622c7f678805982057ea25380dc,0.18274687854710556,0.43147963079594126,NO
0,False,,NONCANONICAL_FAMILY_MEMBER,2.752367117207835,graph:observation:4a4591056283a9debf557521,False,False,False,False,node:retained_peak:observation:4a4591056283a9debf557521:0018,17,observation:4a4591056283a9debf557521,0.363323625597758,0.0018305455940501134,,False,457,retained_peak:observation:4a4591056283a9debf557521:0018,18,4d16d5324229d7cdbf291784c2efc617b1c3526ae6942c1051ccd9dbb62da0b2,aa92edb5f009b947463e29f44a49b5e8403439a15324fd66a9deb28f920de7ae,0.13166855845629966,0.4282422693601175,NO
0,False,,NONCANONICAL_FAMILY_MEMBER,0.9464180400221877,graph:observation:4a4591056283a9debf557521,False,False,False,False,node:retained_peak:observation:4a4591056283a9debf557521:0019,18,observation:4a4591056283a9debf557521,1.0566155310992975,0.001803658506773051,,False,430,retained_peak:observation:4a4591056283a9debf557521:0019,19,f0864a68eb7785d3721d99adb1bf52b1df717935f4216e9e39f04e901d6ad9d3,f2eed4d71e2ba1edb115e82b2d5f1eb20a0f825ec53a7c79b869c5f59dc2a921,0.039727582292849034,0.4268174552727649,NO
0,False,,REFERENCE_PEAK,0.8349397019243081,graph:observation:4a4591056283a9debf557521,False,False,True,True,node:retained_peak:observation:4a4591056283a9debf557521:0020,19,observation:4a4591056283a9debf557521,1.1976912796160883,0.001634733316611802,CENTER,False,456,retained_peak:observation:4a4591056283a9debf557521:0020,20,0e4745a576d7fba4bb937af894a63e4c21026c143be849d5c688bcdcd488125e,b0e3c689ac8a15a27842406e6154d9dc81cb4cd72896b87c1a940c488a3a65da,0.0340522133938706,0.41734844330551674,YES
0,False,,NONCANONICAL_FAMILY_MEMBER,6.899361294448951,graph:observation:4a4591056283a9debf557521,False,False,False,False,node:retained_peak:observation:4a4591056283a9debf557521:0021,20,observation:4a4591056283a9debf557521,0.1449409528392975,0.0015491853805024648,,False,453,retained_peak:observation:4a4591056283a9debf557521:0021,21,afaece6a3f97fa3af162cb0768d2f579066963858d131d2b390144ef58144987,c839610348ef091aa63d00279873d534b5d6f11f2af5bff8438100f3d90c012a,0.3427922814982974,0.4121727570316004,NO
