graph_all_index,feature_name,source_registry,source_index,short_definition,provenance_status,notes
49,mean_confidence_projection,Graph-Extended,19,mean confidence projection,FROZEN_ARTIFACT_VERIFIED,Ordered concatenation after Graph-Core
50,harmonic_edge_fraction,Graph-Extended,20,harmonic edge fraction,FROZEN_ARTIFACT_VERIFIED,Ordered concatenation after Graph-Core
51,subharmonic_edge_fraction,Graph-Extended,21,subharmonic edge fraction,FROZEN_ARTIFACT_VERIFIED,Ordered concatenation after Graph-Core
52,rational_edge_fraction,Graph-Extended,22,rational edge fraction,FROZEN_ARTIFACT_VERIFIED,Ordered concatenation after Graph-Core
53,sum_combination_edge_fraction,Graph-Extended,23,sum combination edge fraction,FROZEN_ARTIFACT_VERIFIED,Ordered concatenation after Graph-Core
54,difference_combination_edge_fraction,Graph-Extended,24,difference combination edge fraction,FROZEN_ARTIFACT_VERIFIED,Ordered concatenation after Graph-Core
55,sideband_edge_fraction,Graph-Extended,25,sideband edge fraction,FROZEN_ARTIFACT_VERIFIED,Ordered concatenation after Graph-Core
56,mean_normalized_relationship_residual,Graph-Extended,26,mean normalized relationship residual,FROZEN_ARTIFACT_VERIFIED,Ordered concatenation after Graph-Core
57,median_normalized_relationship_residual,Graph-Extended,27,median normalized relationship residual,FROZEN_ARTIFACT_VERIFIED,Ordered concatenation after Graph-Core
58,p90_normalized_relationship_residual,Graph-Extended,28,p90 normalized relationship residual,FROZEN_ARTIFACT_VERIFIED,Ordered concatenation after Graph-Core
59,mean_relationship_similarity_weight,Graph-Extended,29,mean relationship similarity weight,FROZEN_ARTIFACT_VERIFIED,Ordered concatenation after Graph-Core
60,canonical_harmonic_node_fraction,Graph-Extended,30,canonical harmonic node fraction,FROZEN_ARTIFACT_VERIFIED,Ordered concatenation after Graph-Core
61,canonical_harmonic_power_fraction,Graph-Extended,31,canonical harmonic power fraction,FROZEN_ARTIFACT_VERIFIED,Ordered concatenation after Graph-Core
62,mean_canonical_harmonic_order,Graph-Extended,32,mean canonical harmonic order,FROZEN_ARTIFACT_VERIFIED,Ordered concatenation after Graph-Core
63,maximum_canonical_harmonic_order,Graph-Extended,33,maximum canonical harmonic order,FROZEN_ARTIFACT_VERIFIED,Ordered concatenation after Graph-Core
64,alias_advisory_node_fraction,Graph-Extended,34,alias advisory node fraction,FROZEN_ARTIFACT_VERIFIED,Ordered concatenation after Graph-Core
65,primary_sideband_node_fraction,Graph-Extended,35,primary sideband node fraction,FROZEN_ARTIFACT_VERIFIED,Ordered concatenation after Graph-Core
66,primary_sideband_edge_fraction,Graph-Extended,36,primary sideband edge fraction,FROZEN_ARTIFACT_VERIFIED,Ordered concatenation after Graph-Core
