comparison,spearman_rho,kendall_tau,mean_absolute_rank_displacement,maximum_absolute_rank_displacement,n_objects,supporting_artifact,notes
Median vs mean,0.992971901452473,0.9520153550863725,0.9090909090909091,3,33,outputs/results/stage_21_8_publication_supplementary_package/supplementary_tables/table_s3_robustness.csv,Frozen named comparison; descriptive rank concordance and displacement only.
PRIMARY vs FULL,0.9084672148610509,0.7512011150888909,3.4242424242424243,8,33,outputs/results/stage_21_8_publication_supplementary_package/supplementary_tables/table_s3_robustness.csv,Frozen named comparison; descriptive rank concordance and displacement only.
IF,0.9995818663704296,0.9952194120982412,0.15151515151515152,1,33,outputs/results/stage_21_8_publication_supplementary_package/supplementary_tables/table_s3_robustness.csv,Frozen one-model perturbation; descriptive sensitivity of the consensus ranking.
LOF,0.9518909102481282,0.8395777168640545,2.3333333333333335,7,33,outputs/results/stage_21_8_publication_supplementary_package/supplementary_tables/table_s3_robustness.csv,Frozen one-model perturbation; descriptive sensitivity of the consensus ranking.
AE,0.9614904361634342,0.8676526945638056,1.7272727272727273,9,33,outputs/results/stage_21_8_publication_supplementary_package/supplementary_tables/table_s3_robustness.csv,Frozen one-model perturbation; descriptive sensitivity of the consensus ranking.
