EPIC,frozen_role,consensus_rank,rank_range,retained_peak_count,graph_node_count,graph_relationship_count,dominant_relation_patterns,notable_stability_behavior,post_freeze_context_summary,interpretation_boundary
EPIC 60018238,ROBUST_HIGH_CONSENSUS,1,2,31,109,28828,difference_combination_edge_fraction=0.457749410295546;sideband_edge_fraction=0.24594144581656724;sum_combination_edge_fraction=0.22658526432634937,profile_similarity=0.9695175461138934; dominant_peak_retention=1,ASAS J233930-0337.9; RRc,High consensus does not establish physical novelty.
EPIC 60042292,ROBUST_HIGH_CONSENSUS,2,4,47,124,43937,difference_combination_edge_fraction=0.46912624894735644;sideband_edge_fraction=0.23538247945922572;sum_combination_edge_fraction=0.2326968158954867,profile_similarity=0.9704652819434997; dominant_peak_retention=1,HE 2355-0207; RRc; modulated; background in EPIC mask,High consensus does not establish physical novelty.
EPIC 60018678,ROBUST_HIGH_CONSENSUS,3,2,27,107,28824,difference_combination_edge_fraction=0.4643352761587566;sideband_edge_fraction=0.23570635581459895;sum_combination_edge_fraction=0.23029419927837913,profile_similarity=0.9836715059323307; dominant_peak_retention=1,CRTS J232839.2+010142; RRc,High consensus does not establish physical novelty.
EPIC 60018742,DISAGREEMENT_CONTROL,13,12,31,101,24031,difference_combination_edge_fraction=0.45641046980982897;sideband_edge_fraction=0.24285298156547794;sum_combination_edge_fraction=0.22620781490574673,profile_similarity=0.9975681702582353; dominant_peak_retention=1,ATO J001.9023-08.2457; RRab; modulated,Detector-rank spread illustrates disagreement; it is not model failure.
