EPIC,IF_rank,LOF_rank,AE_rank,consensus_rank,rank_range,frozen_role,inspection_reason,selection_status,notes
EPIC 60018238,3,1,1,1,2,ROBUST_HIGH_CONSENSUS,PRIMARY_HIGH_CONSENSUS_TOP10_TIE_AWARE;ROBUST_HIGH_CONSENSUS_SUPPORT,FROZEN_SELECTED_FOR_SCIENTIFIC_INSPECTION,Strong multi-model prioritization.
EPIC 60042292,1,2,5,2,4,ROBUST_HIGH_CONSENSUS,PRIMARY_HIGH_CONSENSUS_TOP10_TIE_AWARE;ROBUST_HIGH_CONSENSUS_SUPPORT,FROZEN_SELECTED_FOR_SCIENTIFIC_INSPECTION,Strong multi-model prioritization.
EPIC 60018678,2,3,4,3,2,ROBUST_HIGH_CONSENSUS,PRIMARY_HIGH_CONSENSUS_TOP10_TIE_AWARE;ROBUST_HIGH_CONSENSUS_SUPPORT,FROZEN_SELECTED_FOR_SCIENTIFIC_INSPECTION,Strong multi-model prioritization.
EPIC 60018742,20,13,8,13,12,DISAGREEMENT_CONTROL,MAX_PRIMARY_FULL_RANK_DISPLACEMENT;MAX_LOF_PERTURBATION_DISPLACEMENT,FROZEN_SELECTED_FOR_SCIENTIFIC_INSPECTION,Controlled detector disagreement; not a failed candidate.
