model,configuration_id,configuration,shared_parameters,architecture,score,orientation,fit_policy,seed_policy,authority,status
IF,IF_1,"{""max_features"": 1, ""n_estimators"": 200}","{""bootstrap"": false, ""contamination"": ""auto"", ""max_samples"": ""auto"", ""n_jobs"": 1, ""random_state"": ""derived per experiment""}",,-score_samples(X),HIGHER_IS_MORE_ANOMALOUS,reference objects only; evaluation excluded,root seed 42; SHA-256-derived child seed from model/view/preprocessing/split/configuration/replication identity,outputs/experiments/isolation_forest/stage_16_1/isolation_forest_hyperparameter_registry.json,FROZEN_PROVEN
IF,IF_2,"{""max_features"": 1, ""n_estimators"": 500}","{""bootstrap"": false, ""contamination"": ""auto"", ""max_samples"": ""auto"", ""n_jobs"": 1, ""random_state"": ""derived per experiment""}",,-score_samples(X),HIGHER_IS_MORE_ANOMALOUS,reference objects only; evaluation excluded,root seed 42; SHA-256-derived child seed from model/view/preprocessing/split/configuration/replication identity,outputs/experiments/isolation_forest/stage_16_1/isolation_forest_hyperparameter_registry.json,FROZEN_PROVEN
IF,IF_3,"{""max_features"": 0.75, ""n_estimators"": 200}","{""bootstrap"": false, ""contamination"": ""auto"", ""max_samples"": ""auto"", ""n_jobs"": 1, ""random_state"": ""derived per experiment""}",,-score_samples(X),HIGHER_IS_MORE_ANOMALOUS,reference objects only; evaluation excluded,root seed 42; SHA-256-derived child seed from model/view/preprocessing/split/configuration/replication identity,outputs/experiments/isolation_forest/stage_16_1/isolation_forest_hyperparameter_registry.json,FROZEN_PROVEN
LOF,LOF_1,"{""n_neighbors"": 5}","{""algorithm"": ""auto"", ""contamination"": ""auto"", ""leaf_size"": 30, ""metric"": ""minkowski"", ""n_jobs"": 1, ""novelty"": true, ""p"": 2}",,-score_samples(X_evaluation); reference diagnostic -negative_outlier_factor_,HIGHER_IS_MORE_ANOMALOUS,reference objects only; evaluation excluded,root seed 42; SHA-256-derived child seed from model/view/preprocessing/split/configuration/replication identity,outputs/experiments/lof/stage_17_1/local_outlier_factor_configuration_registry.json,FROZEN_PROVEN
LOF,LOF_2,"{""n_neighbors"": 10}","{""algorithm"": ""auto"", ""contamination"": ""auto"", ""leaf_size"": 30, ""metric"": ""minkowski"", ""n_jobs"": 1, ""novelty"": true, ""p"": 2}",,-score_samples(X_evaluation); reference diagnostic -negative_outlier_factor_,HIGHER_IS_MORE_ANOMALOUS,reference objects only; evaluation excluded,root seed 42; SHA-256-derived child seed from model/view/preprocessing/split/configuration/replication identity,outputs/experiments/lof/stage_17_1/local_outlier_factor_configuration_registry.json,FROZEN_PROVEN
LOF,LOF_3,"{""n_neighbors"": 20}","{""algorithm"": ""auto"", ""contamination"": ""auto"", ""leaf_size"": 30, ""metric"": ""minkowski"", ""n_jobs"": 1, ""novelty"": true, ""p"": 2}",,-score_samples(X_evaluation); reference diagnostic -negative_outlier_factor_,HIGHER_IS_MORE_ANOMALOUS,reference objects only; evaluation excluded,root seed 42; SHA-256-derived child seed from model/view/preprocessing/split/configuration/replication identity,outputs/experiments/lof/stage_17_1/local_outlier_factor_configuration_registry.json,FROZEN_PROVEN
AE,AE_1,"{""latent_dimension"": 2}","{""batch"": ""full 26-object reference batch"", ""deterministic_algorithms"": true, ""device"": ""CPU"", ""dtype"": ""float32"", ""early_stopping"": false, ""epochs"": 100, ""learning_rate"": 0.001, ""loss"": ""MSE"", ""optimizer"": ""Adam"", ""replications"": 3, ""validation_split"": false}","D-H-Z-H-D; ReLU hidden; linear latent/output; H=max(Z+1,min(8,ceil(sqrt(D)/2)))",mean featurewise squared reconstruction error,HIGHER_IS_MORE_ANOMALOUS,reference only,root seed 42; SHA-256-derived child seed from model/view/preprocessing/split/configuration/replication identity,outputs/experiments/autoencoder/stage_18_1/autoencoder_training_contract.json,FROZEN_PROVEN
AE,AE_2,"{""latent_dimension"": 4}","{""batch"": ""full 26-object reference batch"", ""deterministic_algorithms"": true, ""device"": ""CPU"", ""dtype"": ""float32"", ""early_stopping"": false, ""epochs"": 100, ""learning_rate"": 0.001, ""loss"": ""MSE"", ""optimizer"": ""Adam"", ""replications"": 3, ""validation_split"": false}","D-H-Z-H-D; ReLU hidden; linear latent/output; H=max(Z+1,min(8,ceil(sqrt(D)/2)))",mean featurewise squared reconstruction error,HIGHER_IS_MORE_ANOMALOUS,reference only,root seed 42; SHA-256-derived child seed from model/view/preprocessing/split/configuration/replication identity,outputs/experiments/autoencoder/stage_18_1/autoencoder_training_contract.json,FROZEN_PROVEN
AE,AE_3,"{""latent_dimension"": 8}","{""batch"": ""full 26-object reference batch"", ""deterministic_algorithms"": true, ""device"": ""CPU"", ""dtype"": ""float32"", ""early_stopping"": false, ""epochs"": 100, ""learning_rate"": 0.001, ""loss"": ""MSE"", ""optimizer"": ""Adam"", ""replications"": 3, ""validation_split"": false}","D-H-Z-H-D; ReLU hidden; linear latent/output; H=max(Z+1,min(8,ceil(sqrt(D)/2)))",mean featurewise squared reconstruction error,HIGHER_IS_MORE_ANOMALOUS,reference only,root seed 42; SHA-256-derived child seed from model/view/preprocessing/split/configuration/replication identity,outputs/experiments/autoencoder/stage_18_1/autoencoder_training_contract.json,FROZEN_PROVEN
