historical_source,current_public_source,feature_id,status
spectral_descriptor.spectral_strength.SpectralStrength.extract,stellar_anomaly_detection.pisd.components.spectral_strength.SpectralStrength.extract,maximum_power|mean_power|integrated_spectral_power|robust_spectral_snr|peak_bin_concentration,HISTORICAL_PROVENANCE_LABEL_PRESERVED
spectral_descriptor.spectral_morphology.SpectralMorphology.extract,stellar_anomaly_detection.pisd.components.spectral_morphology.SpectralMorphology.extract,has_peaks|has_multiple_peaks|peak_count|peak_density|average_peak_width|maximum_peak_width|peak_width_variability|average_prominence|maximum_prominence|prominence_variability|peak_height_variability|mean_peak_separation|peak_separation_variability,HISTORICAL_PROVENANCE_LABEL_PRESERVED
spectral_descriptor.harmonic_structure.HarmonicStructure.extract,stellar_anomaly_detection.pisd.components.harmonic_structure.HarmonicStructure.extract,has_harmonic_structure|harmonic_count|fundamental_frequency|fundamental_power|fundamental_dominance|first_harmonic_ratio|strongest_harmonic_ratio|harmonic_complexity|harmonic_power_fraction|mean_harmonic_deviation,HISTORICAL_PROVENANCE_LABEL_PRESERVED_OPERATIONAL_REFERENCE_SEMANTICS
spectral_descriptor.spectral_complexity.SpectralComplexity.extract,stellar_anomaly_detection.pisd.components.spectral_complexity.SpectralComplexity.extract,normalized_spectral_entropy|spectral_gini_index|normalized_power_variance|power_skewness|power_excess_kurtosis|robust_power_dispersion|top_power_concentration,HISTORICAL_PROVENANCE_LABEL_PRESERVED
spectral_descriptor.spectral_stability.SpectralStability.extract,stellar_anomaly_detection.pisd.components.spectral_stability.SpectralStability.extract,median_profile_similarity|profile_similarity_variability|dominant_peak_retention_rate|median_normalized_frequency_drift|p90_normalized_frequency_drift|dominant_power_stability|dominant_power_log_variability,HISTORICAL_PROVENANCE_LABEL_PRESERVED
