section,comparison,spearman_rho,kendall_tau,mean_absolute_rank_displacement,maximum_absolute_rank_displacement,global_kendall_w
Cross-model agreement,IF-LOF,0.8773395721925135,0.7121212121212122,NA,NA,0.9129530600118836
Cross-model agreement,IF-AE,0.8094919786096257,0.6174242424242424,NA,NA,0.9129530600118836
Cross-model agreement,LOF-AE,0.9214572192513370,0.7386363636363638,NA,NA,0.9129530600118836
Robustness,Median versus mean aggregation,0.9929719014524730,0.9520153550863725,0.9090909090909091,3,NA
Robustness,PRIMARY versus FULL,0.9084672148610509,0.7512011150888909,3.4242424242424243,8,NA
Robustness,IF-only perturbation,0.9995818663704296,0.9952194120982412,0.15151515151515152,1,NA
Robustness,LOF-only perturbation,0.9518909102481282,0.8395777168640545,2.3333333333333335,7,NA
Robustness,AE-only perturbation,0.9614904361634342,0.8676526945638056,1.7272727272727273,9,NA
